Title,Year,Director,Cast,Production,Length
Inception,2010,Christopher Nolan,Leonardo DiCaprio; Elliot Page,Warner Bros.; Legendary Entertainment,PT2H28M
Breakfast at Tiffany's,1961,Edwards Blake,Audrey Hepburn; George Peppard,Paramount Pictures,PT1H55M
Shutter Island,2010,Martin Scorsese,Leonardo DiCaprio; Mark Ruffalo,Paramount Pictures,PT2H18M
